"셀id(ID)","x좌표(X_COORD)","y좌표(Y_COORD)","성별(AS_GNDR_CD)","연령대(AGE_GR_SCTN_CD)","주중보행인구수(WKDY_FLPOP_CNT)","주말보행인구수(WKND_FLPOP_CNT)","거주지코드(INFLOW_ADMIN_CD)","행정동코드(ADMI_CD)","기준년월(STD_YM)"
"4*7*9*3*",190740.392333743,544406.393277219,"2","3034",0.9512,0.0164,"11650560","11305660","201610"
"4*4*3*6*",190588.282943091,545054.216062565,"2","6064",0.2904,0.0017,"28245","11410640","201711"
"4*8*4*4*",189675.62583456,543675.551408522,"1","5054",0,0,"41390","11350570","201801"
"4*6*0*8*",191095.137334947,543715.469497356,"2","2529",0,0.0624,"41610","11590660","201609"
"4*5*1*4*",189922.952634981,543109.154931707,"1","4549",1.785,0.5112,"11440630","11740600","201703"
"4*4*0*8*",190126.649861696,543703.269992797,"1","2529",0.2115,0.0041,"11620615","11740540","201602"
"4*7*4*6*",189774.556555151,543424.510799217,"1","2024",0.0234,2.7144,"11380600","11290770","201709"
"4*6*7*4*",190332.999137119,544022.340499994,"2","2529",0.1402,0.0574,"11650520","11200690","201705"
"4*2*9*9*",190542.529821677,544872.271392426,"1","4044",0.0981,0,"11260580","11410565","201705"
"4*7*5*2*",190317.614340861,543616.538573488,"2","1519",0.0152,0,"11380640","11740650","201706"
"4*4*3*8*",190133.015425547,542970.30450721,"2","5559",0.1419,0.068,"11590660","11410640","201709"
"4*8*9*6*",190436.173516034,544151.640264702,"2","5054",0,0,"41171","11110690","201611"
"4*3*6*1*",190799.403579463,544660.616266764,"2","2529",0.3942,0.0577,"11620585","11110615","201704"
"4*7*3*0*",189391.563464901,543373.984463991,"2","2529",0.0175,0,"11380625","11440610","201608"
"4*9*0*1*",189371.937054041,544670.696099935,"2","3539",0.0423,0,"11710650","11350665","201710"
"4*3*2*2*",188779.414514115,545206.856189261,"2","5559",0.1605,0.0312,"11140665","11350600","201605"
"4*7*1*5*",190183.011345275,543362.316185622,"1","6569",1.2867,0.0888,"11560700","11110700","201601"
"4*8*4*3*",188816.677503928,542480.950937323,"2","6569",0.0528,0,"11620605","11230545","201606"
"4*2*0*4*",188933.114985584,543666.004040866,"2","4044",0.0264,0.2933,"47250","11230570","201702"
"4*6*9*5*",190018.699985088,544262.241166731,"2","3539",0.1674,0,"41150","11650610","201603"
"4*6*3*4*",189139.993298821,543858.561503262,"2","2529",0.8382,0,"11530790","11620645","201711"
"4*7*7*9*",188883.119201977,543566.012299506,"2","2529",0.41,0.2296,"42830","11260680","201707"
"4*6*8*8*",188785.779728464,543815.461227403,"1","7074",0.116,0,"11590510","11620685","201609"
"4*9*8*2*",188826.757881945,543667.595267215,"2","6569",0.3213,0,"11320660","11650570","201702"
"4*9*8*1*",189937.275072476,542731.991674928,"2","5054",0,0,"26320","11470611","201612"
"4*8*2*6*",189638.890931401,543664.412815157,"1","2529",0.0006,0,"11740550","11470520","201610"
"4*6*9*5*",188971.970557432,543524.502715249,"2","2529",3.3437,0.0886,"11500630","11350570","201610"
"4*6*3*2*",189583.591095412,543764.934942955,"2","5054",0.6864,0,"11215820","11650590","201609"
"4*6*0*1*",189737.291532879,542329.372072035,"1","2024",0,0.0113,"11590550","11305620","201710"
"4*3*7*7*",189536.7776911,544664.329886546,"2","3539",0.056,0,"41430","11290580","201605"
"4*8*4*3*",189530.943049428,544466.468457413,"2","5054",0.042,0.0686,"11500510","11320660","201607"
"4*7*7*9*",188733.131883835,543815.991652381,"1","2529",1.5378,0,"11500603","11740515","201705"
"4*7*5*9*",189023.027427104,542729.870446099,"1","1014",1.0136,0.1365,"44133","11320681","201709"
"4*5*2*7*",190272.924025522,544862.72168035,"2","1519",0,0,"11620725","11110530","201606"
"4*6*5*9*",189731.987392028,544609.028918029,"1","2529",0.1935,0.3216,"11530560","11740600","201709"
"4*3*4*2*",189822.430321378,542481.481217337,"2","4549",1.4631,0.3684,"11380552","11740700","201605"
"4*6*9*3*",190487.760640792,543755.917822897,"1","2529",0.9156,0.0627,"27260","11740685","201601"
"4*4*0*8*",190593.056117133,544670.696099935,"2","2024",0.1355,0.216,"11350612","11110630","201602"
"4*7*0*1*",190545.711724901,544371.251075057,"2","4549",0.249,0.0564,"41480","11140550","201607"
"4*6*7*4*",190119.222379642,544714.856262211,"2","4549",2.712,0.1815,"41830","11290610","201705"
"4*5*8*9*",190546.772315747,543477.158698313,"2","6064",0.0801,0.431,"42190","11350612","201608"
"4*7*7*0*",189783.044139924,543523.972321807,"2","2024",0.1861,0,"11530510","11215780","201611"
"4*8*2*5*",190222.397558959,542724.037072719,"1","4044",0,0.1124,"11410700","11200520","201612"
"4*5*6*9*",188619.877942319,543626.085844411,"2","4549",0.0347,0,"11470620","11305660","201711"
"4*7*0*8*",188835.245096877,542780.927084766,"1","2529",0.259,0,"11305545","11440740","201609"
"4*5*9*6*",190444.659198914,543771.830401461,"1","5559",0.0426,0,"11470560","11350595","201606"
"4*6*5*9*",190093.627040547,543617.068976826,"1","2529",0.6565,0.0932,"11500620","11740690","201609"
"4*6*1*3*",189630.934763084,545272.238864111,"1","6569",0.0274,0,"28170","11380590","201705"
"4*5*2*6*",188827.288373712,543923.93993952,"2","2529",0,0,"11740600","11200580","201712"
"4*7*5*8*",190749.937852499,543517.077213544,"1","1519",1.1325,0,"11530750","11500641","201706"
"4*7*5*3*",189722.969103015,543765.465362414,"2","2024",1.8382,0,"43130","11650660","201610"
"4*7*3*1*",189683.052393034,543567.073095219,"2","3539",0.0466,0,"11650651","11560690","201702"
"4*7*4*8*",190026.127541376,544765.913177192,"2","2024",0,0.1067,"11530790","11260655","201612"
"4*6*8*8*",190476.621408152,543460.716692427,"1","3539",0.5689,0,"41173","11440660","201711"
"4*7*4*4*",189488.372993018,542625.105756218,"1","2529",0.2334,0.0357,"11740515","11410660","201606"
"4*9*6*2*",189629.343382408,544918.553508881,"1","4549",0.0301,0,"11170685","11590620","201709"
"4*7*3*2*",190687.74450738,543812.278679028,"1","4549",0,0,"11545670","11440720","201801"
"4*8*3*9*",190235.128951396,544922.797872312,"2","7074",0,3.9244,"11470510","11650590","201702"
"4*7*7*9*",190127.71084345,542680.404734178,"1","7074",0.0921,0.9617,"11590530","11170690","201703"
"4*5*6*2*",190242.554148639,542276.724774327,"1","4044",0.3543,0,"11590670","11320680","201603"
"4*8*6*8*",190386.177568659,545023.320308041,"1","3034",0,0.0469,"11560680","11530530","201607"
"4*7*6*5*",190648.885368366,544312.767477345,"1","2024",1.1112,0.84,"11470530","11305660","201610"
"4*7*1*3*",190224.519675479,543464.95978421,"1","3034",0.087,0,"11590680","11650560","201708"
"4*4*3*9*",190487.760640792,543424.510799217,"2","3539",0,0,"11440610","11170640","201708"
"4*5*9*5*",190444.659198914,544155.883956773,"1","7074",0.0403,0.0781,"11530760","11140625","201708"
"4*8*2*5*",190488.291020546,543616.008170223,"1","2024",0.28,0.051,"11710650","11410640","201708"
"4*4*2*3*",189033.106569126,544470.712426582,"1","2024",0.0981,0,"11530730","11560560","201606"
"4*5*6*0*",190691.457053307,544307.993168873,"1","2529",0.9585,2.0113,"11350600","11620745","201708"
"4*4*8*1*",191046.201918734,544003.774875839,"1","6569",0.1989,0.0417,"11470540","11500540","201707"
"4*8*4*5*",189124.080084918,542674.041119045,"2","1014",0.506,0.0532,"11110710","11560700","201610"
"4*5*5*7*",189926.135741878,542680.404734178,"1","2529",0.1383,0,"28237","11290590","201708"
"4*6*7*6*",190022.944433629,545224.895822818,"1","1519",0,0,"11620545","11680656","201603"
"4*6*6*2*",190120.814072769,542531.477247537,"2","7074",0.1166,0.1218,"11680655","11170690","201608"
"4*5*5*5*",189030.984807829,543618.129783713,"1","4549",0.7475,0.0444,"11200615","11350710","201605"
"4*3*5*6*",188629.957694372,542778.805834727,"2","3539",0.28,0.333,"11380510","11290610","201801"
"4*7*4*8*",191245.125425751,544855.824680276,"1","4549",0.3382,0.0328,"11380632","11215847","201602"
"4*6*1*5*",189878.261812391,545023.850864749,"1","4549",0.6032,0.135,"11545510","11470600","201609"
"4*8*3*0*",189672.442697116,543227.709132414,"1","5054",0.042,0,"11470590","11350640","201711"
"4*6*0*8*",188827.818860036,542969.243841333,"1","4044",0,0,"44200","11440740","201602"
"4*7*0*1*",190531.92206181,544115.436415852,"1","6569",0.5984,0.3605,"11530560","11350720","201611"
"4*7*7*7*",190271.862945343,544623.352746407,"1","3034",0.0158,0.04,"41220","11740690","201711"
"4*8*3*9*",190594.647077127,544419.65552624,"2","4044",0.7644,0,"11545700","11215740","201709"
"4*5*2*6*",189776.148083466,544922.267326634,"1","6064",0.28,0,"11740590","11320515","201703"
"4*7*6*5*",190171.871092536,545372.761325995,"1","7074",0.1292,0,"28200","11650590","201712"
"4*7*5*1*",189922.952634981,543921.818192229,"1","2529",0.2001,0.0748,"11410700","11530750","201701"
"4*8*4*4*",190070.818160118,542727.749218418,"1","6569",0.0448,0,"11560720","11290810","201708"
"4*6*8*0*",190269.740719654,543417.085449976,"2","6064",0.3355,0.0303,"11140580","11110690","201601"
"4*6*9*5*",188975.153721634,544458.511027399,"1","4549",0.2877,0.093,"11470670","11290580","201702"
"4*5*1*2*",188622.000158713,544172.858770043,"1","6064",0,0.0881,"44133","11260520","201702"
"4*7*4*6*",189027.802002542,543373.454086956,"2","2529",0.0862,0.126,"11530740","11305545","201608"
"4*5*5*5*",188969.848339079,544823.336527793,"2","6569",1.6776,0,"28245","11305575","201801"
"4*7*9*3*",190228.76364719,542426.182444602,"1","3034",0.0364,0.0422,"11410620","11110550","201701"
"4*4*0*5*",188834.714686779,544924.920055731,"2","5559",0.0738,0.15,"11620595","11110670","201609"
